doc,ROOT,flat,punct,det,nsubj,case,nmod,cop,advmod,mark,amod,advcl,parataxis,obl,cc,conj,obj,nsubj:pass,aux:pass,expl:pv,compound:prt,ccomp,aux,xcomp,fixed,obl:agent,acl,acl:relcl,nummod,appos,nmod:poss,dep,csubj,expl,iobj,orphan
1.female.ENFJ.Dutch.OV.txt,0.066,0.008,0.081,0.121,0.087,0.105,0.062,0.016,0.061,0.039,0.063,0.012,0.003,0.053,0.028,0.03,0.047,0.005,0.006,0.004,0.013,0.009,0.019,0.017,0.01,0.002,0.004,0.011,0.005,0.005,0.005,0.001,0.0,0.0,0.001,nan
10.male.INTJ.Dutch.A.txt,0.059,0.011,0.116,0.107,0.08,0.085,0.041,0.019,0.064,0.046,0.071,0.014,0.011,0.055,0.025,0.026,0.048,0.005,0.008,0.002,0.013,0.009,0.018,0.011,0.014,0.002,0.003,0.008,0.006,0.006,0.011,0.001,0.002,0.001,0.001,nan
100.female.ISFJ.Dutch.A.txt,0.058,0.009,0.104,0.107,0.091,0.091,0.036,0.017,0.087,0.04,0.06,0.013,0.004,0.057,0.017,0.02,0.048,0.009,0.01,0.004,0.01,0.014,0.021,0.02,0.01,0.001,0.002,0.018,0.002,0.006,0.006,0.002,0.001,0.002,0.001,nan
101.female.ESFJ.Dutch.A.txt,0.056,0.006,0.119,0.091,0.086,0.085,0.034,0.021,0.103,0.031,0.064,0.011,0.012,0.059,0.025,0.032,0.032,0.006,0.007,0.001,0.01,0.007,0.032,0.016,0.013,0.001,0.004,0.007,0.002,0.007,0.014,0.001,0.003,0.001,0.001,nan
102.female.INFJ.Dutch.A.txt,0.064,0.008,0.09,0.128,0.084,0.088,0.036,0.021,0.073,0.036,0.064,0.013,0.005,0.054,0.028,0.033,0.041,0.013,0.016,0.004,0.008,0.004,0.029,0.012,0.006,0.001,0.003,0.014,0.005,0.009,0.005,0.001,0.002,0.003,0.001,nan
103.male.INFJ.Dutch.A.txt,0.048,0.006,0.107,0.1,0.08,0.091,0.029,0.026,0.088,0.065,0.05,0.016,0.011,0.058,0.019,0.021,0.03,0.01,0.01,0.002,0.01,0.01,0.029,0.018,0.015,0.001,0.004,0.015,0.001,0.003,0.01,0.004,0.007,0.004,0.001,nan
104.male.INTJ.Dutch.A.txt,0.062,0.012,0.093,0.109,0.083,0.088,0.041,0.019,0.087,0.035,0.057,0.014,0.01,0.058,0.027,0.029,0.043,0.006,0.007,0.004,0.007,0.004,0.031,0.02,0.011,0.001,0.002,0.01,0.003,0.004,0.009,0.004,0.001,nan,0.005,nan
105.female.INFJ.Dutch.A.txt,0.05,0.002,0.094,0.113,0.079,0.075,0.028,0.018,0.106,0.042,0.049,0.012,0.007,0.052,0.026,0.032,0.035,0.012,0.015,0.006,0.011,0.01,0.029,0.021,0.021,0.001,0.001,0.016,0.007,0.007,0.006,0.003,0.005,0.007,0.004,nan
106.female.ISTJ.Dutch.A.txt,0.051,0.008,0.091,0.106,0.094,0.093,0.042,0.02,0.077,0.039,0.043,0.017,0.01,0.049,0.028,0.036,0.036,0.016,0.016,0.003,0.006,0.008,0.038,0.018,0.007,0.001,0.003,0.021,0.006,0.002,0.006,0.001,0.001,0.003,0.001,0.001
107.female.INTJ.Dutch.A.txt,0.056,0.006,0.101,0.11,0.076,0.092,0.039,0.01,0.094,0.031,0.066,0.011,0.012,0.064,0.023,0.025,0.043,0.012,0.012,0.003,0.014,0.007,0.02,0.019,0.01,nan,0.005,0.011,0.001,0.005,0.012,0.003,0.001,0.001,0.004,nan
108.male.ENTJ.Dutch.A.txt,0.05,0.007,0.073,0.123,0.081,0.098,0.047,0.015,0.074,0.047,0.061,0.019,0.001,0.058,0.017,0.016,0.051,0.012,0.016,0.003,0.007,0.01,0.032,0.018,0.01,0.001,0.004,0.017,0.008,0.008,0.007,0.001,0.003,0.001,0.003,nan
109.female.INTP.Dutch.L.txt,0.052,0.015,0.099,0.103,0.076,0.098,0.05,0.022,0.079,0.039,0.064,0.01,0.005,0.053,0.027,0.032,0.041,0.005,0.007,0.003,0.009,0.014,0.024,0.017,0.007,0.001,0.004,0.008,0.003,0.009,0.011,0.003,0.003,nan,0.007,nan
11.female.ESFP.Dutch.OV.txt,0.066,0.008,0.117,0.101,0.079,0.075,0.024,0.014,0.096,0.049,0.048,0.013,0.01,0.053,0.024,0.029,0.048,0.013,0.011,0.004,0.009,0.01,0.02,0.02,0.01,0.002,0.004,0.011,0.003,0.007,0.008,0.002,0.004,0.003,0.004,nan
110.female.ESTJ.Dutch.A.txt,0.056,0.007,0.097,0.103,0.088,0.087,0.04,0.022,0.093,0.043,0.074,0.012,0.005,0.05,0.016,0.02,0.043,0.007,0.009,0.006,0.006,0.008,0.041,0.012,0.013,0.001,0.005,0.02,0.001,0.004,0.004,0.001,0.004,0.004,0.001,nan
