doc,de,van,een,het,en,in,te,dit,is,met,deze,die,hij,dat,zijn,men,kan,op,aan,zich,door,wat,maar,als,we,ze,je,voor,of,uit,heeft,om,tot,kunnen,naar,over,alle,dan,werden,elkaar,bij,was,ons,worden,zichzelf,hun,zonder,z'n,ten,rond,noch,geen,moet,tegen,iets,na,x,onder,had,iedereen,achter,niemand,alles,toe,wij,waren,allerlei,buitenaf,nu,vanuit,mee,dezelfde,meest,wordt,per,zouden,ik,onszelf,veel,mogen,heb,onze,naargelang,me,omdat,hebben,meer,zoals,zou,zulke,zal,tussen,mijn,elk,geweest,welke,naast,enkele,wanneer,kon,werd,wie,hem,volgens,zulk,zij,mij,ondanks,terwijl,via,ter,zullen,weinig,niets,haar,heen,alsof,want,bent,zo'n,alhoewel,zoiets,tijdens,jullie,moeten,konden,dus,méér,hebt,vanaf,weidden,hadden,naartoe,zodat,neer,enig,sensoren,enige,én,ben,er,zolang,mag,elke,af,langs,beide,zowel,toen,krijgen,fysieke,aangezien,binnen,al,hen,u,mezelf,mekaar,hetzelfde,ene,des,diezelfde,dankzij,waar,vandaan,allebei,hoewel,zodra,behalve,bvb,wiens,dna,iemand,mocht,niks,buiten,doch,getuige,hetgeen,miermetafoor,doordat,"houden""-idee",doorheen,kregen,m'n,moest,e,totdat,velen,genetische,enkel,qua,vóór,gedurende,naarmate,welk,sinds,lus,sommigen,tegenover,hetzij,minder,kunt,ieders,moge,minst,nadat,enzovoort,uitzag,boven,'s,hoezeer,alvorens,beiden,meerdere,inzake,datgene,omtrent,ieder,alsook,moesten,evenwichtsproblemen,nog,sommige,uw,eenmaal,wegens,wezen,dezen,indien,leven,rondom,ware,zeer,té,datzelfde,diens,iedere,steeds,vanop,ietwat,ikzelf,word,leveneen,jezelf,nabij,helemaal,allen,aangaande,vanwege,opdat,mochten,kun,evenals,à,ecosystemen,tekens,zijnde,oftewel,obstakels,ná,eenzelfde,vermits,a,a.i.,der,jou,its,kauffmans,hijzelf,resp.,t.o.v.,den,ofte,jij,jouw,bovenop,anno,vol,minste,rather,ofwel,daar,algoritmen,hoe,meeste,mits,tenzij,uitstaans,zowat,toegegeven,mensdom,doyne,dé,dewelke,mét,ditzelfde,spruit,parallelle,vb.,teneinde,degene,alsmede,diegene,cd's,ontsprong,ven,menige,genoeg,voorzover,bit,a.l.,abcdef,10000en,biljoenen,books,cog,artificiêle,tussendoor,geïnterviewde,geneest,gehoorzamen,degenen,hemzelf,hét,kortom,wél,ge,teveel,vele,fé,vlotte,allerhande,weerklonk,optimaal,ie,'n,'t,meesten,berekeningen,beneden,voordat
1.female.ENFJ.Dutch.OV.txt,0.11,0.087,0.068,0.057,0.05,0.048,0.037,0.03,0.029,0.027,0.026,0.025,0.021,0.019,0.019,0.018,0.017,0.017,0.017,0.016,0.016,0.016,0.014,0.014,0.011,0.011,0.011,0.01,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.male.INTJ.Dutch.A.txt,0.118,0.058,0.056,0.06,0.055,0.038,0.046,0.012,0.035,0.017,0.031,0.021,0.017,0.024,0.031,0.027,0.009,0.031,0.015,0.005,0.026,0.006,0.008,0.018,0.003,0.006,nan,0.008,0.006,0.009,0.003,0.014,0.011,0.008,0.008,0.003,0.002,0.002,nan,0.011,0.009,0.005,0.005,0.005,0.003,0.003,nan,nan,0.002,nan,nan,nan,nan,nan,nan,0.006,nan,nan,nan,nan,0.002,nan,nan,0.005,0.003,0.003,nan,nan,nan,nan,nan,0.003,nan,0.005,nan,0.002,0.009,nan,nan,0.003,nan,0.006,nan,nan,nan,nan,0.003,0.012,0.008,0.006,0.005,0.005,0.005,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
100.female.ISFJ.Dutch.A.txt,0.103,0.055,0.092,0.05,0.035,0.046,0.042,0.015,0.044,0.033,0.013,0.037,0.026,0.022,0.018,0.011,0.015,0.015,0.022,0.011,0.011,nan,0.006,0.009,0.002,0.007,0.015,0.009,0.004,0.007,0.004,0.018,0.002,0.007,0.009,0.004,0.006,nan,nan,0.006,0.004,0.004,0.006,0.006,0.009,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002,0.004,nan,0.002,nan,nan,nan,nan,0.002,0.002,0.002,nan,0.007,nan,nan,0.002,0.004,nan,nan,0.006,0.002,nan,0.024,nan,nan,nan,nan,nan,nan,0.004,0.002,0.002,nan,0.002,0.006,nan,0.006,0.004,nan,nan,nan,nan,nan,0.002,0.006,0.004,0.004,nan,0.004,0.002,nan,0.002,0.004,nan,nan,0.006,0.004,0.004,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
101.female.ESFJ.Dutch.A.txt,0.111,0.069,0.06,0.044,0.037,0.032,0.02,0.009,0.034,0.02,0.015,0.024,0.029,0.026,0.04,0.009,0.015,0.028,0.016,0.003,0.009,0.012,0.02,0.013,0.013,0.005,0.005,0.008,0.009,0.005,nan,0.007,nan,0.016,0.012,0.005,0.001,0.005,0.001,0.003,0.008,0.013,0.008,0.004,0.001,0.001,0.001,nan,nan,nan,0.001,0.003,0.012,nan,0.007,0.008,nan,0.003,0.004,nan,0.001,nan,0.003,0.001,0.003,nan,nan,nan,nan,nan,nan,nan,nan,0.001,0.001,0.001,0.015,nan,0.003,nan,nan,0.007,0.001,0.001,0.001,0.003,0.005,0.004,0.004,nan,0.003,0.001,nan,0.001,nan,nan,nan,0.003,0.001,0.011,0.005,0.001,0.005,0.005,nan,0.001,0.004,nan,0.001,0.001,nan,0.001,nan,nan,nan,nan,0.001,0.003,nan,nan,nan,nan,nan,nan,0.004,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
102.female.INFJ.Dutch.A.txt,0.132,0.057,0.071,0.063,0.055,0.035,0.031,0.017,0.038,0.032,0.015,0.029,0.013,0.016,0.019,0.013,0.014,0.027,0.005,0.009,0.011,0.018,0.013,0.01,0.005,0.008,0.001,0.012,0.005,0.012,0.003,0.019,0.003,0.012,0.01,0.007,nan,0.002,0.003,0.001,0.001,0.008,0.002,0.019,0.006,nan,0.001,nan,nan,0.002,nan,0.004,0.001,nan,0.001,0.004,nan,0.001,0.001,nan,nan,nan,0.005,0.001,nan,0.005,0.001,nan,nan,nan,0.003,0.001,nan,0.007,nan,0.002,nan,nan,0.001,nan,nan,nan,0.001,nan,nan,0.002,0.001,0.003,0.004,nan,0.018,0.002,nan,0.003,nan,0.002,0.001,0.003,0.001,0.003,0.006,0.001,0.001,0.002,nan,nan,nan,nan,0.001,0.004,nan,0.004,nan,nan,nan,nan,nan,0.002,nan,0.002,nan,nan,nan,nan,0.001,0.001,nan,nan,nan,0.001,nan,nan,nan,0.001,0.002,nan,nan,nan,nan,nan,0.001,nan,nan,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
103.male.INFJ.Dutch.A.txt,0.104,0.048,0.056,0.061,0.033,0.038,0.053,0.02,0.066,0.013,0.005,0.031,0.007,0.04,0.015,0.012,0.005,0.026,0.018,0.008,0.012,0.008,0.01,0.013,0.02,0.003,nan,0.008,0.002,0.012,0.005,0.035,0.017,0.008,0.012,0.008,0.002,0.005,nan,0.002,0.008,0.003,0.003,0.01,0.008,0.003,0.002,nan,0.002,nan,nan,0.003,0.005,nan,0.005,nan,nan,0.002,nan,nan,0.002,nan,nan,0.005,nan,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.013,nan,0.003,nan,0.005,0.002,nan,0.002,nan,0.002,nan,0.002,0.003,nan,0.012,nan,0.008,0.002,nan,nan,nan,nan,0.002,0.002,0.002,nan,0.002,0.002,nan,nan,0.002,nan,nan,0.002,nan,0.005,nan,0.002,nan,nan,nan,0.003,nan,nan,nan,nan,nan,nan,0.003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003,nan,nan,nan,nan,0.003,nan,nan,nan,0.002,nan,nan,nan,nan,0.003,0.002,0.002,0.002,0.002,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
104.male.INTJ.Dutch.A.txt,0.085,0.056,0.078,0.074,0.053,0.041,0.026,0.016,0.042,0.037,0.014,0.025,0.021,0.021,0.023,nan,0.018,0.019,0.012,0.018,0.005,0.016,0.012,0.021,0.012,0.011,0.012,0.005,0.005,nan,0.002,0.011,0.005,0.012,0.012,0.005,nan,0.002,nan,0.004,0.005,0.007,0.009,0.007,0.002,nan,nan,nan,nan,0.002,nan,0.005,0.002,0.002,0.007,0.004,nan,nan,0.002,nan,nan,nan,0.002,0.002,nan,0.002,nan,nan,nan,nan,nan,nan,nan,0.012,nan,0.002,0.005,nan,nan,nan,0.002,0.007,nan,nan,nan,0.002,0.002,0.004,0.004,nan,0.005,0.002,0.002,nan,nan,nan,nan,nan,0.004,nan,nan,nan,0.004,0.002,nan,nan,0.007,nan,nan,nan,nan,0.011,nan,0.002,nan,nan,nan,0.002,nan,nan,nan,nan,nan,nan,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002,nan,0.004,nan,nan,nan,0.004,nan,nan,nan,0.002,nan,nan,0.002,nan,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
105.female.INFJ.Dutch.A.txt,0.121,0.048,0.067,0.067,0.048,0.039,0.033,0.007,0.03,0.025,0.016,0.035,0.012,0.028,0.018,0.007,0.012,0.014,0.005,0.016,0.002,0.011,0.011,0.007,0.005,0.016,0.002,0.016,0.011,0.011,0.002,0.004,0.007,0.023,0.007,0.009,nan,nan,nan,0.005,0.011,0.011,0.004,0.014,0.004,0.005,nan,nan,0.004,nan,nan,0.002,0.009,nan,0.002,0.004,nan,0.007,nan,nan,0.002,nan,0.002,nan,nan,nan,0.004,nan,nan,nan,0.005,0.002,nan,0.021,nan,0.002,0.009,nan,0.004,nan,nan,nan,nan,0.005,0.002,0.002,0.004,0.004,0.004,nan,0.004,0.002,nan,0.002,nan,nan,nan,0.002,0.007,0.002,0.004,0.002,nan,nan,nan,0.002,0.002,nan,nan,0.002,nan,0.004,0.004,nan,nan,nan,nan,0.004,nan,nan,nan,nan,nan,nan,nan,0.002,nan,nan,nan,0.005,nan,nan,nan,nan,0.002,nan,nan,nan,nan,0.002,nan,nan,nan,nan,0.002,nan,nan,nan,0.002,nan,nan,0.002,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004,0.002,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
106.female.ISTJ.Dutch.A.txt,0.09,0.06,0.062,0.052,0.06,0.043,0.021,0.006,0.043,0.014,0.014,0.062,0.008,0.03,0.017,0.008,0.03,0.024,0.014,0.01,0.013,0.008,0.011,0.014,0.008,0.01,nan,0.014,0.005,0.005,nan,0.006,0.003,0.021,0.005,0.008,0.002,0.003,0.002,0.008,0.002,0.006,0.006,0.017,0.013,0.002,0.002,nan,nan,0.002,nan,0.002,0.005,0.002,0.003,0.006,nan,nan,nan,nan,nan,nan,0.002,nan,0.002,0.005,nan,nan,nan,0.003,0.002,nan,nan,0.003,0.003,0.003,0.013,nan,0.008,nan,nan,0.005,nan,0.005,0.002,0.002,0.002,0.005,nan,0.002,0.005,0.003,0.002,nan,nan,0.002,nan,nan,nan,0.003,0.006,0.002,nan,nan,nan,nan,nan,nan,0.003,nan,nan,0.005,nan,0.002,nan,nan,nan,nan,nan,0.003,nan,nan,nan,nan,0.003,0.002,0.003,nan,nan,nan,nan,nan,nan,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003,nan,nan,nan,nan,nan,nan,nan,nan,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003,0.002,0.002,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
107.female.INTJ.Dutch.A.txt,0.124,0.052,0.066,0.059,0.046,0.032,0.024,0.014,0.005,0.032,0.012,0.017,0.005,0.024,0.01,0.012,0.005,0.014,0.015,0.005,0.002,0.007,0.008,0.012,0.01,0.002,0.002,0.005,0.005,0.017,nan,0.005,0.007,0.005,0.014,0.014,0.002,0.003,nan,0.003,0.014,0.027,0.01,0.008,0.007,0.003,nan,nan,nan,nan,nan,0.002,nan,nan,0.003,0.005,nan,0.003,0.003,0.002,0.002,nan,0.003,nan,nan,0.003,nan,nan,nan,0.003,0.003,nan,nan,0.005,nan,nan,0.041,nan,0.002,0.002,0.002,nan,nan,0.014,0.002,0.002,0.005,nan,0.005,0.002,0.007,0.002,0.022,0.002,nan,nan,nan,0.002,nan,0.007,0.008,0.003,0.002,nan,nan,nan,0.002,nan,nan,0.003,nan,nan,0.003,0.002,nan,nan,0.003,0.002,nan,0.002,nan,nan,nan,nan,nan,0.002,nan,nan,nan,0.002,nan,0.002,nan,nan,0.002,nan,nan,0.002,nan,0.003,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,nan,0.003,0.002,nan,0.002,nan,nan,nan,0.002,nan,nan,0.003,nan,nan,nan,0.003,nan,nan,nan,nan,nan,nan,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
