doc,n_characters,n_syllables,n_tokens,n_polysyllabic_tokens,n_long_tokens,n_types,n_sentences,avg_characters_per_word,std_characters_per_word,avg_syllables_per_word,std_syllables_per_word,ratio_long_words,ratio_content_words,ratio_passive_sentences,ratio_sentences_negation,avg_words_per_sentence,std_words_per_sentence
1.female.ENFJ.Dutch.OV.txt,10332,3472,1929,817,1201,697,139,5.266,3.257,1.8,1.178,0.623,0.46126,0.079,0.115,13.878,6.929
10.male.INTJ.Dutch.A.txt,7954,2638,1470,663,915,584,99,5.262,3.152,1.795,1.152,0.622,0.44414,0.141,0.081,14.848,7.807
100.female.ISFJ.Dutch.A.txt,6598,2194,1217,541,735,516,79,5.302,3.243,1.803,1.139,0.604,0.45196,0.152,0.063,15.405,7.153
101.female.ESFJ.Dutch.A.txt,8653,2805,1655,665,1088,611,106,5.065,3.044,1.695,1.058,0.657,0.44102,0.113,0.151,15.613,7.438
102.female.INFJ.Dutch.A.txt,12034,3994,2272,1005,1392,765,161,5.194,3.172,1.758,1.125,0.613,0.45679,0.199,0.099,14.112,5.905
103.male.INFJ.Dutch.A.txt,6190,2065,1215,494,790,423,65,4.966,3.118,1.7,1.063,0.65,0.44592,0.185,0.185,18.692,8.626
104.male.INTJ.Dutch.A.txt,6284,2057,1210,496,787,501,83,5.081,3.083,1.7,1.086,0.65,0.45507,0.133,0.12,14.578,7.651
105.female.INFJ.Dutch.A.txt,6422,2117,1239,537,779,527,68,5.08,3.015,1.709,1.04,0.629,0.45562,0.309,0.103,18.221,7.111
106.female.ISTJ.Dutch.A.txt,6513,2145,1306,536,861,477,74,4.877,2.911,1.642,1.032,0.659,0.45374,0.284,0.162,17.649,7.652
107.female.INTJ.Dutch.A.txt,7112,2340,1305,572,804,620,82,5.311,3.298,1.793,1.183,0.616,0.45089,0.22,0.22,15.915,7.959
108.male.ENTJ.Dutch.A.txt,6965,2304,1343,562,856,538,73,5.096,3.077,1.716,1.092,0.637,0.46175,0.301,0.151,18.397,6.291
109.female.INTP.Dutch.L.txt,7425,2458,1363,579,849,597,79,5.328,3.337,1.803,1.232,0.623,0.45244,0.127,0.203,17.253,6.96
11.female.ESFP.Dutch.OV.txt,7385,2393,1438,587,964,560,108,4.995,2.965,1.664,1.036,0.67,0.44399,0.176,0.176,13.315,5.999
110.female.ESTJ.Dutch.A.txt,6780,2234,1240,563,743,472,78,5.324,3.202,1.802,1.123,0.599,0.45076,0.128,0.167,15.897,6.996
111.male.ENFJ.Dutch.A.txt,6317,2063,1192,503,742,469,57,5.177,3.087,1.731,1.047,0.622,0.45317,0.105,0.175,20.912,8.848
112.male.ENFJ.Dutch.A.txt,7438,2439,1469,582,968,564,64,4.952,2.945,1.66,1.036,0.659,0.45767,0.062,0.312,22.953,10.952
113.male.ESFP.Dutch.A.txt,6753,2232,1202,551,729,493,71,5.465,3.413,1.857,1.18,0.606,0.44459,0.07,0.127,16.93,9.647
114.female.ENFJ.Dutch.OV.txt,6304,2066,1208,502,773,464,78,5.106,3.174,1.71,1.117,0.64,0.45356,0.256,0.038,15.487,6.961
115.male.ENFP.Dutch.A.txt,6248,2069,1140,527,689,548,69,5.375,3.283,1.815,1.159,0.604,0.45651,0.174,0.145,16.522,7.569
116.female.ENFP.Dutch.A.txt,6381,2133,1200,524,739,508,65,5.218,3.132,1.778,1.158,0.616,0.46066,0.169,0.154,18.462,8.519
117.female.INFJ.Dutch.A.txt,6455,2106,1229,496,800,509,74,5.111,3.138,1.714,1.086,0.651,0.44616,0.095,0.108,16.608,7.249
118.female.ESFJ.Dutch.WV.txt,6878,2279,1264,557,767,552,85,5.32,3.273,1.803,1.16,0.607,0.45473,0.247,0.153,14.871,7.193
119.female.ISFJ.Dutch.B.txt,7330,2402,1402,575,907,522,95,5.121,3.103,1.713,1.093,0.647,0.45585,0.126,0.116,14.758,5.887
12.female.ISFJ.Dutch.Other.txt,6654,2220,1287,551,828,458,72,5.085,3.091,1.725,1.114,0.643,0.46244,0.292,0.111,17.875,8.34
120.female.ISFJ.Dutch.A.txt,7002,2339,1303,547,809,508,91,5.288,3.268,1.795,1.2,0.621,0.4619,0.165,0.121,14.319,6.243
121.female.ESFJ.Dutch.A.txt,6545,2176,1232,548,762,513,67,5.187,3.155,1.766,1.111,0.619,0.45374,0.164,0.134,18.388,8.839
122.female.ESTJ.Dutch.A.txt,6192,2032,1235,493,832,488,90,4.899,2.877,1.645,1.008,0.674,0.45448,0.078,0.156,13.722,6.938
123.female.ENFP.Dutch.A.txt,6487,2160,1205,522,750,487,85,5.291,3.293,1.793,1.148,0.622,0.45928,0.176,0.106,14.176,6.507
124.female.INTJ.Dutch.OV.txt,6716,2229,1206,537,733,536,92,5.45,3.425,1.848,1.21,0.608,0.45166,0.152,0.065,13.109,5.282
125.female.ISFJ.Dutch.A.txt,6627,2201,1213,560,725,488,65,5.378,3.205,1.815,1.131,0.598,0.46308,0.277,0.138,18.662,9.886
126.female.ESFJ.Dutch.A.txt,6654,2201,1235,558,770,543,66,5.264,3.188,1.782,1.122,0.623,0.45455,0.212,0.152,18.712,9.498
127.female.ISTJ.Dutch.OV.txt,7182,2359,1199,603,662,551,52,5.785,3.541,1.967,1.255,0.552,0.43605,0.327,0.173,23.058,11.604
128.female.ESFJ.Dutch.A.txt,6129,1997,1199,482,806,499,75,4.957,2.928,1.666,1.072,0.672,0.44538,0.133,0.12,15.987,8.6
129.female.ENFJ.Dutch.A.txt,6412,2122,1227,495,811,477,79,5.116,3.17,1.729,1.136,0.661,0.45779,0.19,0.291,15.532,6.114
13.female.ENFJ.Dutch.A.txt,6740,2196,1266,532,808,531,104,5.148,3.067,1.735,1.115,0.638,0.43742,0.144,0.067,12.173,6.189
130.female.ESFJ.Other.Other.txt,5753,1869,1035,468,622,424,53,5.317,3.13,1.806,1.145,0.601,0.44229,0.17,0.226,19.528,9.73
131.female.ESTJ.Dutch.A.txt,6883,2316,1211,582,707,520,91,5.575,3.467,1.912,1.268,0.584,0.45567,0.11,0.121,13.308,6.347
132.female.ISFJ.Dutch.A.txt,6119,2021,1143,497,705,486,64,5.235,3.185,1.768,1.105,0.617,0.45194,0.078,0.109,17.859,8.145
133.female.INFJ.Dutch.A.txt,6283,2010,1249,477,834,494,70,4.873,2.852,1.609,1.009,0.668,0.43821,0.143,0.214,17.843,11.187
134.male.ENTJ.Dutch.A.txt,6432,2124,1201,510,748,516,78,5.248,3.219,1.769,1.14,0.623,0.45578,0.192,0.115,15.397,8.187
135.female.ENFJ.Dutch.A.txt,5955,1964,1218,457,840,408,60,4.764,2.815,1.612,1.004,0.69,0.44986,0.217,0.25,20.3,10.611
136.female.ESFP.Dutch.A.txt,6696,2163,1282,537,819,467,83,5.067,2.936,1.687,1.059,0.639,0.44974,0.229,0.157,15.446,6.563
137.female.ESFJ.Other.Other.txt,7535,2491,1407,621,854,549,109,5.203,3.081,1.77,1.143,0.607,0.44371,0.11,0.156,12.908,6.524
138.female.ESFJ.Dutch.A.txt,6439,2141,1256,520,838,466,79,4.968,3.031,1.705,1.085,0.667,0.44359,0.165,0.114,15.899,9.244
139.male.ENTP.Dutch.A.txt,6724,2241,1213,534,747,524,59,5.412,3.365,1.847,1.195,0.616,0.45186,0.085,0.153,20.559,10.331
14.female.ISFJ.Dutch.OV.txt,6300,2074,1204,503,770,482,71,5.106,3.091,1.723,1.101,0.64,0.45576,0.113,0.085,16.958,6.6
140.female.ESFJ.Dutch.A.txt,6333,2088,1209,530,764,436,80,5.128,2.982,1.727,1.063,0.632,0.45436,0.113,0.212,15.113,6.782
141.male.ENTJ.Dutch.A.txt,6425,2120,1195,513,749,476,82,5.214,3.14,1.774,1.149,0.627,0.43599,0.159,0.256,14.573,8.06
142.male.INFJ.Dutch.A.txt,6998,2351,1217,586,705,519,64,5.587,3.44,1.932,1.245,0.579,0.45259,0.172,0.172,19.016,7.778
143.male.ISFP.Dutch.A.txt,6327,2087,1202,521,764,480,70,5.138,3.12,1.736,1.1,0.636,0.44572,0.214,0.114,17.171,8.056
144.male.INTJ.Dutch.A.txt,7457,2523,1352,619,781,550,71,5.435,3.258,1.866,1.196,0.578,0.46832,0.183,0.155,19.042,6.117
145.female.ISFJ.Dutch.A.txt,6516,2137,1225,549,757,491,76,5.167,3.078,1.744,1.099,0.618,0.44678,0.289,0.184,16.118,7.327
15.male.ENFP.Dutch.A.txt,7383,2393,1416,599,921,635,80,5.023,2.947,1.69,1.031,0.65,0.45,0.15,0.15,17.7,10.46
16.female.ISTJ.Dutch.OV.txt,4644,1546,862,374,533,405,58,5.285,3.241,1.794,1.165,0.618,0.45728,0.069,0.103,14.862,6.868
17.female.ENFJ.Dutch.A.txt,6005,1969,1210,468,820,412,77,4.859,2.828,1.627,0.997,0.678,0.46166,0.117,0.195,15.714,7.084
18.female.ENFJ.Dutch.A.txt,6775,2244,1273,549,799,555,68,5.208,3.192,1.763,1.127,0.628,0.45697,0.132,0.162,18.721,10.163
19.female.INFJ.Other.A.txt,8550,2833,1567,723,926,631,105,5.324,3.197,1.808,1.166,0.591,0.4566,0.229,0.105,14.924,6.991
2.female.ENFJ.Dutch.L.txt,6412,2101,1208,508,772,471,89,5.18,3.186,1.739,1.143,0.639,0.45217,0.202,0.236,13.573,6.607
20.female.ISTJ.Dutch.A.txt,7464,2475,1423,624,911,561,77,5.138,3.136,1.739,1.086,0.64,0.455,0.312,0.195,18.481,7.706
21.female.ENTJ.Dutch.A.txt,7384,2362,1467,572,972,533,105,4.867,2.868,1.61,1.0,0.663,0.4391,0.162,0.133,13.971,7.756
22.female.ESFJ.Dutch.A.txt,7996,2661,1505,658,927,559,83,5.231,3.155,1.768,1.105,0.616,0.46379,0.217,0.157,18.133,6.616
23.female.ESFP.Dutch.A.txt,5853,1950,1113,467,703,477,76,5.153,3.093,1.752,1.12,0.632,0.4567,0.211,0.171,14.645,6.681
24.female.ESFJ.Dutch.A.txt,6040,1979,1200,453,812,467,76,4.938,3.074,1.649,1.074,0.677,0.46059,0.105,0.237,15.789,3.954
25.female.ENFP.Dutch.A.txt,5866,1907,1162,448,804,430,85,4.948,3.037,1.641,1.077,0.692,0.462,0.153,0.176,13.671,5.626
26.male.ENFP.Dutch.A.txt,6623,2143,1209,554,747,547,70,5.27,3.114,1.773,1.063,0.618,0.43385,0.229,0.186,17.271,7.336
27.male.INTJ.Dutch.A.txt,6302,2070,1206,496,762,518,69,5.113,3.101,1.716,1.126,0.632,0.45534,0.319,0.174,17.478,9.171
28.male.INTP.Dutch.A.txt,6425,2165,1197,513,727,475,51,5.261,3.271,1.809,1.183,0.607,0.4584,0.275,0.235,23.471,12.913
29.female.ISTJ.Dutch.Other.txt,6161,2072,1167,509,723,414,64,5.201,3.161,1.775,1.139,0.62,0.46661,0.25,0.109,18.234,8.366
3.female.ESFJ.Dutch.Other.txt,6255,2034,1220,491,799,452,78,4.993,3.042,1.667,1.03,0.655,0.44946,0.308,0.128,15.641,8.274
30.male.ISTJ.Dutch.A.txt,7012,2318,1252,586,730,545,66,5.462,3.272,1.851,1.17,0.583,0.44661,0.318,0.076,18.97,7.473
31.male.ISFJ.Dutch.B.txt,6529,2138,1243,502,798,534,59,5.118,3.143,1.72,1.081,0.642,0.44165,0.237,0.119,21.068,11.725
32.female.ESFP.Dutch.A.txt,6122,2000,1201,490,778,506,95,4.968,2.901,1.665,1.039,0.648,0.44634,0.137,0.189,12.642,5.113
33.female.ISFP.Dutch.A.txt,6128,1990,1197,476,796,479,59,5.016,3.058,1.662,1.048,0.665,0.45603,0.305,0.237,20.288,8.05
34.female.ESFP.Dutch.A.txt,6487,2153,1214,539,758,501,79,5.179,3.066,1.773,1.102,0.624,0.44245,0.101,0.063,15.367,9.348
35.female.ENTJ.Dutch.A.txt,6146,2022,1173,480,744,479,75,5.088,3.076,1.724,1.106,0.634,0.44735,0.227,0.147,15.64,6.447
36.female.ESFJ.Dutch.A.txt,7785,2603,1499,615,977,544,92,5.075,3.098,1.736,1.121,0.652,0.45703,0.109,0.109,16.293,7.481
37.female.INFP.Dutch.A.txt,6364,2007,1197,494,769,505,75,5.092,3.132,1.677,1.054,0.642,0.43309,0.16,0.16,15.96,9.139
38.female.ENFJ.Dutch.A.txt,8634,2882,1737,714,1150,609,122,4.875,2.801,1.659,1.01,0.662,0.46041,0.164,0.09,14.238,6.756
39.male.INTJ.Dutch.L.txt,6130,2098,1216,522,768,424,64,4.953,2.935,1.725,1.077,0.632,0.4645,0.266,0.078,19.0,9.038
4.female.ENFJ.Dutch.A.txt,6312,2077,1225,482,798,515,67,5.041,3.087,1.696,1.122,0.651,0.45415,0.224,0.313,18.284,9.464
40.female.INFJ.Dutch.A.txt,6371,2125,1201,521,764,418,83,5.216,3.235,1.769,1.144,0.636,0.46114,0.181,0.108,14.47,5.798
41.female.ENFJ.Dutch.L.txt,6232,2053,1213,514,787,476,93,5.024,2.945,1.692,1.055,0.649,0.45601,0.215,0.237,13.043,5.724
42.female.ISTJ.Dutch.A.txt,7012,2358,1209,574,696,512,85,5.668,3.558,1.95,1.273,0.576,0.4528,0.282,0.141,14.224,5.785
43.female.INTP.Dutch.A.txt,7091,2334,1296,598,782,527,80,5.304,3.185,1.801,1.142,0.603,0.44861,0.175,0.125,16.2,6.58
44.female.INFJ.Dutch.A.txt,6852,2212,1252,542,786,532,92,5.307,3.264,1.767,1.135,0.628,0.44725,0.12,0.087,13.609,5.082
45.female.ISFJ.Dutch.A.txt,6276,2061,1213,491,784,504,84,5.043,3.046,1.699,1.066,0.646,0.45623,0.131,0.083,14.44,7.516
46.female.ENTJ.Dutch.L.txt,7436,2460,1419,613,894,573,73,5.132,3.139,1.734,1.111,0.63,0.4558,0.301,0.274,19.438,11.612
