doc,TTR,RTTR,CTTR,Herdan,Summer,Dugast,Maas
1.female.ENFJ.Dutch.OV.txt,0.361,15.87,11.222,0.865,0.929,56.215,0.018
10.male.INTJ.Dutch.A.txt,0.397,15.232,10.771,0.873,0.932,57.618,0.017
100.female.ISFJ.Dutch.A.txt,0.424,14.791,10.459,0.879,0.934,58.819,0.017
101.female.ESFJ.Dutch.A.txt,0.369,15.019,10.62,0.866,0.928,55.126,0.018
102.female.INFJ.Dutch.A.txt,0.337,16.049,11.349,0.859,0.926,54.87,0.018
103.male.INFJ.Dutch.A.txt,0.348,12.135,8.581,0.851,0.918,47.81,0.021
104.male.INTJ.Dutch.A.txt,0.414,14.403,10.184,0.876,0.932,57.143,0.017
105.female.INFJ.Dutch.A.txt,0.425,14.972,10.587,0.88,0.935,59.336,0.017
106.female.ISTJ.Dutch.A.txt,0.365,13.199,9.333,0.86,0.923,51.108,0.02
107.female.INTJ.Dutch.A.txt,0.475,17.163,12.136,0.896,0.944,69.152,0.014
108.male.ENTJ.Dutch.A.txt,0.401,14.681,10.381,0.873,0.931,56.71,0.018
109.female.INTP.Dutch.L.txt,0.438,16.171,11.434,0.886,0.939,63.101,0.016
11.female.ESFP.Dutch.OV.txt,0.389,14.768,10.442,0.87,0.93,56.059,0.018
110.female.ESTJ.Dutch.A.txt,0.381,13.404,9.478,0.864,0.926,52.527,0.019
111.male.ENFJ.Dutch.A.txt,0.393,13.584,9.605,0.868,0.928,53.79,0.019
112.male.ENFJ.Dutch.A.txt,0.384,14.715,10.405,0.869,0.929,55.551,0.018
113.male.ESFP.Dutch.A.txt,0.41,14.22,10.055,0.874,0.931,56.431,0.018
114.female.ENFJ.Dutch.OV.txt,0.384,13.35,9.44,0.865,0.926,52.635,0.019
115.male.ENFP.Dutch.A.txt,0.481,16.23,11.477,0.896,0.944,67.637,0.015
116.female.ENFP.Dutch.A.txt,0.423,14.665,10.37,0.879,0.934,58.48,0.017
117.female.INFJ.Dutch.A.txt,0.414,14.519,10.267,0.876,0.933,57.411,0.017
118.female.ESFJ.Dutch.WV.txt,0.437,15.526,10.979,0.884,0.937,61.568,0.016
119.female.ISFJ.Dutch.B.txt,0.372,13.941,9.858,0.864,0.926,53.138,0.019
12.female.ISFJ.Dutch.Other.txt,0.356,12.767,9.027,0.856,0.921,49.619,0.02
120.female.ISFJ.Dutch.A.txt,0.39,14.073,9.951,0.869,0.929,54.614,0.018
121.female.ESFJ.Dutch.A.txt,0.416,14.615,10.335,0.877,0.933,57.804,0.017
122.female.ESTJ.Dutch.A.txt,0.395,13.886,9.819,0.87,0.929,54.58,0.018
123.female.ENFP.Dutch.A.txt,0.404,14.029,9.92,0.872,0.93,55.552,0.018
124.female.INTJ.Dutch.OV.txt,0.444,15.434,10.914,0.886,0.938,62.077,0.016
125.female.ISFJ.Dutch.A.txt,0.402,14.012,9.908,0.872,0.93,55.376,0.018
126.female.ESFJ.Dutch.A.txt,0.44,15.451,10.926,0.885,0.938,61.673,0.016
127.female.ISTJ.Dutch.OV.txt,0.46,15.913,11.252,0.89,0.941,64.639,0.015
128.female.ESFJ.Dutch.A.txt,0.416,14.411,10.19,0.876,0.933,57.33,0.017
129.female.ENFJ.Dutch.A.txt,0.389,13.617,9.629,0.867,0.927,53.54,0.019
13.female.ENFJ.Dutch.A.txt,0.419,14.924,10.553,0.878,0.934,58.734,0.017
130.female.ESFJ.Other.Other.txt,0.41,13.179,9.319,0.871,0.929,54.003,0.019
131.female.ESTJ.Dutch.A.txt,0.429,14.943,10.566,0.881,0.935,59.617,0.017
132.female.ISFJ.Dutch.A.txt,0.425,14.375,10.165,0.879,0.934,57.976,0.017
133.female.INFJ.Dutch.A.txt,0.396,13.978,9.884,0.87,0.929,54.808,0.018
134.male.ENTJ.Dutch.A.txt,0.43,14.889,10.528,0.881,0.935,59.518,0.017
135.female.ENFJ.Dutch.A.txt,0.335,11.691,8.266,0.846,0.915,46.156,0.022
136.female.ESFP.Dutch.A.txt,0.364,13.043,9.223,0.859,0.923,50.711,0.02
137.female.ESFJ.Other.Other.txt,0.39,14.636,10.349,0.87,0.93,55.839,0.018
138.female.ESFJ.Dutch.A.txt,0.371,13.149,9.298,0.861,0.924,51.354,0.019
139.male.ENTP.Dutch.A.txt,0.432,15.045,10.639,0.882,0.936,60.072,0.017
14.female.ISFJ.Dutch.OV.txt,0.4,13.891,9.822,0.871,0.929,54.963,0.018
140.female.ESFJ.Dutch.A.txt,0.361,12.539,8.867,0.856,0.921,49.392,0.02
141.male.ENTJ.Dutch.A.txt,0.398,13.77,9.737,0.87,0.929,54.547,0.018
142.male.INFJ.Dutch.A.txt,0.426,14.877,10.52,0.88,0.935,59.219,0.017
143.male.ISFP.Dutch.A.txt,0.399,13.845,9.79,0.871,0.929,54.788,0.018
144.male.INTJ.Dutch.A.txt,0.407,14.958,10.577,0.875,0.933,57.787,0.017
145.female.ISFJ.Dutch.A.txt,0.401,14.029,9.92,0.871,0.93,55.304,0.018
15.male.ENFP.Dutch.A.txt,0.448,16.875,11.932,0.889,0.941,65.643,0.015
16.female.ISTJ.Dutch.OV.txt,0.47,13.794,9.754,0.888,0.938,60.484,0.017
17.female.ENFJ.Dutch.A.txt,0.34,11.844,8.375,0.848,0.916,46.769,0.021
18.female.ENFJ.Dutch.A.txt,0.436,15.555,10.999,0.884,0.937,61.566,0.016
19.female.INFJ.Other.A.txt,0.403,15.94,11.271,0.876,0.934,59.503,0.017
2.female.ENFJ.Dutch.L.txt,0.39,13.552,9.582,0.867,0.927,53.472,0.019
20.female.ISTJ.Dutch.A.txt,0.394,14.872,10.516,0.872,0.931,56.634,0.018
21.female.ENTJ.Dutch.A.txt,0.363,13.916,9.84,0.861,0.925,52.504,0.019
22.female.ESFJ.Dutch.A.txt,0.371,14.409,10.189,0.865,0.927,54.051,0.019
23.female.ESFP.Dutch.A.txt,0.429,14.298,10.11,0.879,0.934,58.076,0.017
24.female.ESFJ.Dutch.A.txt,0.389,13.481,9.533,0.867,0.927,53.266,0.019
25.female.ENFP.Dutch.A.txt,0.37,12.614,8.92,0.859,0.922,50.109,0.02
26.male.ENFP.Dutch.A.txt,0.452,15.732,11.124,0.888,0.94,63.517,0.016
27.male.INTJ.Dutch.A.txt,0.43,14.916,10.547,0.881,0.935,59.568,0.017
28.male.INTP.Dutch.A.txt,0.397,13.729,9.708,0.87,0.929,54.35,0.018
29.female.ISTJ.Dutch.Other.txt,0.355,12.119,8.569,0.853,0.919,48.126,0.021
3.female.ESFJ.Dutch.Other.txt,0.37,12.941,9.15,0.86,0.923,50.864,0.02
30.male.ISTJ.Dutch.A.txt,0.435,15.403,10.891,0.883,0.937,61.166,0.016
31.male.ISFJ.Dutch.B.txt,0.43,15.146,10.71,0.881,0.936,60.09,0.017
32.female.ESFP.Dutch.A.txt,0.421,14.601,10.324,0.878,0.934,58.17,0.017
33.female.ISFP.Dutch.A.txt,0.4,13.845,9.79,0.871,0.929,54.848,0.018
34.female.ESFP.Dutch.A.txt,0.413,14.379,10.167,0.875,0.932,56.983,0.018
35.female.ENTJ.Dutch.A.txt,0.408,13.986,9.889,0.873,0.931,55.768,0.018
36.female.ESFJ.Dutch.A.txt,0.363,14.051,9.935,0.861,0.925,52.756,0.019
37.female.INFP.Dutch.A.txt,0.422,14.596,10.321,0.878,0.934,58.207,0.017
38.female.ENFJ.Dutch.A.txt,0.351,14.612,10.332,0.86,0.925,53.097,0.019
39.male.INTJ.Dutch.L.txt,0.349,12.159,8.598,0.852,0.918,47.891,0.021
4.female.ENFJ.Dutch.A.txt,0.42,14.714,10.405,0.878,0.934,58.35,0.017
40.female.INFJ.Dutch.A.txt,0.348,12.062,8.529,0.851,0.918,47.64,0.021
41.female.ENFJ.Dutch.L.txt,0.392,13.667,9.664,0.868,0.928,53.902,0.019
42.female.ISTJ.Dutch.A.txt,0.423,14.725,10.412,0.879,0.934,58.629,0.017
43.female.INTP.Dutch.A.txt,0.407,14.639,10.351,0.874,0.932,57.084,0.018
44.female.INFJ.Dutch.A.txt,0.425,15.035,10.631,0.88,0.935,59.441,0.017
45.female.ISFJ.Dutch.A.txt,0.415,14.471,10.233,0.876,0.933,57.41,0.017
46.female.ENTJ.Dutch.L.txt,0.404,15.211,10.756,0.875,0.933,58.087,0.017
47.male.INTJ.Dutch.A.txt,0.392,13.836,9.784,0.869,0.928,54.267,0.018
48.female.ESFJ.Dutch.A.txt,0.404,14.334,10.136,0.873,0.931,56.188,0.018
49.female.ESFJ.Dutch.OV.txt,0.417,13.54,9.574,0.874,0.931,55.368,0.018
5.male.ENTJ.Dutch.A.txt,0.414,14.414,10.192,0.876,0.932,57.152,0.017
50.female.ENFJ.Dutch.WV.txt,0.43,14.722,10.41,0.881,0.935,59.172,0.017
51.female.ESFJ.Dutch.A.txt,0.455,15.802,11.174,0.889,0.94,63.915,0.016
52.female.ENFJ.Dutch.A.txt,0.374,13.306,9.409,0.862,0.925,51.854,0.019
53.female.ISFJ.Other.Other.txt,0.436,15.838,11.199,0.885,0.938,62.216,0.016
54.male.INFJ.Dutch.A.txt,0.483,16.952,11.987,0.898,0.945,69.581,0.014
55.female.INFP.Dutch.A.txt,0.419,15.6,11.031,0.88,0.935,60.155,0.017
56.male.INFP.Dutch.A.txt,0.41,14.332,10.134,0.875,0.932,56.668,0.018
57.female.ISFP.Dutch.WV.txt,0.415,14.431,10.205,0.876,0.932,57.272,0.017
58.female.ISFP.Dutch.A.txt,0.375,13.008,9.198,0.862,0.924,51.305,0.019
59.female.ESFJ.Dutch.OV.txt,0.443,15.092,10.671,0.885,0.937,61.17,0.016
6.female.ESTP.Dutch.A.txt,0.413,14.357,10.152,0.875,0.932,56.965,0.018
60.male.INTJ.Dutch.A.txt,0.399,13.868,9.806,0.871,0.929,54.816,0.018
61.male.INTJ.Dutch.Other.txt,0.421,14.54,10.281,0.878,0.933,58.019,0.017
62.female.INTJ.Dutch.Other.txt,0.379,13.183,9.322,0.863,0.925,51.961,0.019
63.female.ESTJ.Dutch.A.txt,0.416,14.197,10.039,0.876,0.932,56.802,0.018
64.female.ESFJ.Dutch.OV.txt,0.405,14.058,9.941,0.873,0.93,55.678,0.018
65.female.INFJ.Dutch.A.txt,0.417,14.914,10.546,0.878,0.934,58.475,0.017
66.female.ENFJ.Dutch.L.txt,0.38,13.742,9.717,0.865,0.927,53.22,0.019
67.female.ESFJ.Dutch.A.txt,0.364,13.058,9.233,0.859,0.923,50.702,0.02
68.male.INFP.Dutch.L.txt,0.411,13.965,9.874,0.874,0.931,55.885,0.018
69.female.ESFJ.Dutch.A.txt,0.432,15.072,10.657,0.882,0.936,60.12,0.017
7.female.INFJ.Dutch.A.txt,0.44,15.905,11.246,0.886,0.938,62.704,0.016
70.female.ENFJ.Dutch.A.txt,0.444,14.626,10.342,0.884,0.936,60.154,0.017
71.female.INTJ.Dutch.A.txt,0.422,14.607,10.329,0.878,0.934,58.213,0.017
72.male.INFJ.Dutch.A.txt,0.423,14.87,10.515,0.879,0.934,58.895,0.017
73.male.ISFJ.Dutch.A.txt,0.455,12.48,8.825,0.881,0.933,55.738,0.018
74.female.ESFJ.Dutch.A.txt,0.342,11.99,8.478,0.849,0.917,47.184,0.021
75.female.ESFJ.Dutch.A.txt,0.378,13.125,9.281,0.863,0.925,51.728,0.019
76.female.ISFJ.Dutch.A.txt,0.442,15.447,10.923,0.885,0.938,61.869,0.016
77.male.INFJ.Dutch.Other.txt,0.444,15.078,10.662,0.885,0.937,61.227,0.016
78.female.ENFJ.Dutch.A.txt,0.371,13.67,9.666,0.863,0.925,52.509,0.019
79.female.ESFJ.Dutch.A.txt,0.418,15.949,11.278,0.88,0.936,60.789,0.016
8.male.INTJ.Dutch.A.txt,0.393,14.071,9.95,0.869,0.929,54.819,0.018
80.male.ENTJ.Dutch.A.txt,0.444,15.322,10.834,0.885,0.938,61.761,0.016
81.female.ENFJ.Dutch.A.txt,0.367,13.696,9.685,0.862,0.925,52.285,0.019
82.female.INTJ.Dutch.A.txt,0.354,12.382,8.755,0.854,0.92,48.673,0.021
83.female.ISFJ.Dutch.A.txt,0.376,14.176,10.024,0.865,0.927,53.897,0.019
84.female.ENFP.Dutch.Other.txt,0.393,13.766,9.734,0.869,0.928,54.172,0.018
85.female.ISTJ.Dutch.A.txt,0.384,13.469,9.524,0.866,0.926,52.916,0.019
86.male.ENFJ.Dutch.A.txt,0.436,15.104,10.68,0.883,0.936,60.576,0.017
87.female.ESFJ.Dutch.A.txt,0.406,15.165,10.723,0.875,0.933,58.129,0.017
88.female.ESFJ.Dutch.A.txt,0.343,13.463,9.52,0.854,0.921,50.367,0.02
89.female.ENFJ.Dutch.A.txt,0.372,13.28,9.39,0.862,0.924,51.705,0.019
9.female.ENFJ.Dutch.A.txt,0.376,13.509,9.552,0.864,0.925,52.471,0.019
90.female.ENFP.Dutch.A.txt,0.399,13.914,9.839,0.871,0.929,54.931,0.018
91.female.ENFJ.Dutch.A.txt,0.403,14.317,10.124,0.873,0.931,56.14,0.018
92.female.INFJ.Dutch.A.txt,0.366,15.264,10.794,0.865,0.928,55.412,0.018
93.female.ISFJ.Dutch.A.txt,0.376,13.216,9.345,0.862,0.925,51.789,0.019
94.female.ESFJ.Dutch.A.txt,0.392,14.965,10.582,0.871,0.931,56.624,0.018
