doc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1.female.ENFJ.Dutch.OV.txt,nan,0.181,0.245,0.131,0.067,0.087,0.054,0.059,0.052,0.039,0.033,0.022,0.016,0.007,0.003,0.002,0.001,0.001,nan,nan,nan,0.002,nan,nan,nan,0.001
10.male.INTJ.Dutch.A.txt,0.003,0.18,0.222,0.114,0.103,0.081,0.058,0.08,0.051,0.031,0.023,0.025,0.015,0.005,0.003,0.003,0.001,0.001,nan,nan,0.001,nan,nan,nan,nan,nan
100.female.ISFJ.Dutch.A.txt,nan,0.191,0.246,0.093,0.074,0.088,0.067,0.064,0.049,0.045,0.028,0.021,0.016,0.009,0.003,0.002,0.002,nan,0.002,nan,nan,nan,nan,nan,nan,nan
101.female.ESFJ.Dutch.A.txt,0.001,0.166,0.253,0.162,0.075,0.087,0.051,0.054,0.046,0.031,0.031,0.019,0.008,0.008,0.004,0.001,nan,0.001,0.001,nan,0.001,nan,nan,nan,nan,nan
102.female.INFJ.Dutch.A.txt,nan,0.193,0.23,0.114,0.075,0.109,0.064,0.056,0.042,0.042,0.021,0.019,0.019,0.008,0.002,0.002,0.001,0.0,nan,0.001,0.0,nan,nan,0.0,nan,nan
103.male.INFJ.Dutch.A.txt,0.001,0.219,0.25,0.114,0.066,0.091,0.058,0.055,0.038,0.035,0.029,0.016,0.012,0.009,0.001,0.003,nan,nan,0.001,nan,nan,nan,nan,0.001,nan,nan
104.male.INTJ.Dutch.A.txt,0.001,0.17,0.255,0.129,0.095,0.095,0.066,0.048,0.037,0.032,0.025,0.018,0.017,nan,0.005,0.002,0.002,0.002,nan,nan,0.001,0.001,nan,nan,nan,nan
105.female.INFJ.Dutch.A.txt,0.002,0.184,0.237,0.121,0.085,0.113,0.065,0.053,0.042,0.028,0.026,0.021,0.01,0.011,nan,nan,nan,0.002,nan,0.001,0.001,nan,nan,nan,nan,nan
106.female.ISTJ.Dutch.A.txt,0.004,0.197,0.236,0.145,0.078,0.119,0.046,0.06,0.029,0.021,0.02,0.02,0.014,0.008,0.002,0.002,nan,nan,0.001,nan,nan,nan,nan,nan,nan,nan
107.female.INTJ.Dutch.A.txt,0.001,0.163,0.247,0.132,0.074,0.103,0.054,0.068,0.039,0.032,0.024,0.028,0.011,0.009,0.002,0.006,0.002,0.002,0.002,nan,0.002,0.001,nan,nan,nan,nan
108.male.ENTJ.Dutch.A.txt,0.001,0.17,0.264,0.124,0.078,0.1,0.054,0.058,0.045,0.037,0.025,0.015,0.014,0.007,0.003,0.002,0.001,0.001,0.001,nan,nan,0.001,nan,nan,nan,nan
109.female.INTP.Dutch.L.txt,0.001,0.167,0.24,0.144,0.07,0.098,0.049,0.054,0.051,0.031,0.036,0.014,0.019,0.01,0.004,0.005,0.002,0.002,0.001,0.001,nan,nan,nan,nan,nan,nan
11.female.ESFP.Dutch.OV.txt,nan,0.183,0.235,0.149,0.102,0.078,0.046,0.063,0.05,0.034,0.019,0.017,0.008,0.01,0.001,0.001,0.001,nan,nan,0.001,nan,0.001,nan,nan,nan,nan
110.female.ESTJ.Dutch.A.txt,nan,0.172,0.241,0.11,0.075,0.111,0.061,0.06,0.036,0.055,0.026,0.02,0.014,0.009,0.004,0.003,0.002,0.001,nan,nan,0.001,nan,nan,nan,nan,nan
111.male.ENFJ.Dutch.A.txt,nan,0.171,0.249,0.126,0.078,0.115,0.049,0.054,0.048,0.035,0.021,0.033,0.008,0.004,0.003,0.003,0.003,nan,0.001,nan,nan,nan,nan,nan,nan,nan
