source,doc,det,nsubj,punct,appos,aux,relcl,cc,conj,prep,pobj,ROOT,preconj,attr,acomp,nsubjpass,auxpass,advmod,mark,advcl,compound,ccomp,amod,dobj,acl,xcomp,agent,prt,pcomp,expl,poss,neg,nummod,oprd,predet,npadvmod,case,meta,dative,dep,nmod,parataxis,quantmod,csubjpass,csubj,intj
books,mean,0.072,0.086,0.16,0.006,0.045,0.011,0.032,0.032,0.088,0.085,0.051,0.001,0.009,0.011,0.006,0.007,0.053,0.016,0.018,0.014,0.021,0.038,0.044,0.003,0.009,0.002,0.005,0.005,0.002,0.028,0.011,0.004,0.001,0.002,0.006,0.004,0.0,0.002,0.002,0.002,0.001,0.0,0.0,0.0,0.003
books,std,0.018,0.012,0.036,0.005,0.01,0.004,0.007,0.008,0.017,0.016,0.022,0.002,0.003,0.004,0.003,0.004,0.009,0.005,0.005,0.008,0.006,0.01,0.007,0.002,0.003,0.001,0.003,0.003,0.001,0.008,0.004,0.003,0.001,0.001,0.004,0.002,0.001,0.001,0.003,0.003,0.001,0.001,0.0,0.0,0.002
essays,mean,0.066,0.113,0.073,0.002,0.075,0.018,0.038,0.039,0.074,0.067,0.041,0.0,0.013,0.016,0.003,0.004,0.052,0.027,0.028,0.014,0.032,0.039,0.068,0.003,0.023,0.0,0.004,0.008,0.002,0.021,0.016,0.004,0.001,0.001,0.005,0.001,0.0,0.002,0.001,0.001,0.0,0.0,0.0,0.004,0.001
essays,std,0.023,0.02,0.025,0.003,0.02,0.009,0.014,0.014,0.019,0.018,0.015,0.001,0.009,0.01,0.004,0.004,0.019,0.012,0.011,0.016,0.014,0.018,0.017,0.003,0.012,0.001,0.005,0.007,0.003,0.013,0.01,0.007,0.001,0.002,0.005,0.004,0.001,0.003,0.002,0.003,0.001,0.002,0.0,0.005,0.002
news,mean,0.082,0.073,0.12,0.008,0.038,0.01,0.026,0.027,0.1,0.094,0.044,0.0,0.007,0.008,0.01,0.012,0.035,0.012,0.016,0.064,0.019,0.047,0.044,0.006,0.011,0.002,0.006,0.006,0.001,0.023,0.005,0.014,0.001,0.0,0.009,0.008,0.0,0.001,0.001,0.004,0.001,0.002,0.0,0.001,0.0
news,std,0.018,0.016,0.023,0.008,0.014,0.005,0.008,0.01,0.017,0.017,0.008,0.001,0.005,0.005,0.007,0.008,0.012,0.006,0.007,0.025,0.01,0.016,0.011,0.004,0.006,0.003,0.004,0.004,0.002,0.011,0.004,0.009,0.002,0.001,0.005,0.005,0.001,0.001,0.001,0.005,0.001,0.004,0.0,0.001,0.001
reviews,mean,0.073,0.095,0.107,0.002,0.045,0.007,0.037,0.036,0.063,0.058,0.098,0.0,0.008,0.024,0.004,0.006,0.074,0.013,0.018,0.021,0.015,0.046,0.054,0.002,0.014,0.0,0.008,0.004,0.001,0.015,0.024,0.009,0.001,0.001,0.007,0.0,0.0,0.001,0.001,0.002,0.0,0.001,0.0,0.001,0.002
reviews,std,0.052,0.054,0.065,0.009,0.044,0.016,0.038,0.039,0.049,0.047,0.052,0.002,0.019,0.035,0.015,0.017,0.065,0.024,0.028,0.035,0.025,0.055,0.046,0.01,0.026,0.003,0.02,0.013,0.007,0.029,0.037,0.021,0.01,0.006,0.02,0.003,0.001,0.008,0.009,0.009,0.004,0.008,0.001,0.007,0.011
twitter,mean,0.049,0.078,0.116,0.024,0.031,0.006,0.018,0.02,0.068,0.069,0.099,0.0,0.012,0.008,0.003,0.003,0.034,0.007,0.009,0.098,0.014,0.042,0.055,0.005,0.008,0.001,0.004,0.004,0.001,0.015,0.008,0.011,0.001,0.001,0.013,0.006,0.001,0.002,0.009,0.044,0.001,0.001,0.0,0.001,0.004
twitter,std,0.051,0.059,0.084,0.052,0.042,0.019,0.032,0.037,0.058,0.061,0.06,0.003,0.03,0.023,0.014,0.014,0.049,0.019,0.022,0.103,0.029,0.055,0.059,0.017,0.022,0.008,0.015,0.015,0.007,0.031,0.021,0.031,0.009,0.006,0.032,0.019,0.007,0.01,0.026,0.073,0.006,0.008,0.001,0.007,0.019
