source,doc,.,",",-,!,"""",#,$,%,&,',(,),*,+,/,:,;,<,=,>,?,@,[,\,],^,_,`,{,|,},~
news,mean,0.42,0.233,0.075,0.002,0.039,0.0,0.0,0.001,0.003,0.076,0.054,0.054,0.002,0.001,0.007,0.021,0.002,0.0,0.0,0.0,0.008,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
news,std,0.13,0.111,0.077,0.012,0.073,0.002,0.002,0.014,0.018,0.088,0.053,0.053,0.015,0.006,0.028,0.038,0.017,0.001,0.001,0.001,0.024,0.006,0.009,0.0,0.009,0.004,0.0,0.0,0.001,0.004,0.001,0.001
essays,mean,0.523,0.265,0.029,0.005,0.008,0.0,0.0,0.007,0.003,0.044,0.02,0.02,0.0,0.0,0.003,0.025,0.004,0.0,0.0,0.0,0.041,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
essays,std,0.106,0.071,0.032,0.011,0.019,0.0,0.0,0.016,0.007,0.048,0.034,0.034,0.001,0.002,0.009,0.027,0.011,0.0,0.0,0.0,0.034,0.0,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parliament,mean,0.514,0.321,0.034,0.001,0.005,0.0,0.0,0.004,0.001,0.017,0.009,0.009,0.0,0.0,0.012,0.01,0.002,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parliament,std,0.21,0.171,0.066,0.03,0.028,0.0,0.0,0.019,0.009,0.044,0.039,0.039,0.008,0.003,0.059,0.05,0.016,0.0,0.0,0.0,0.129,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
twitter,mean,0.221,0.063,0.024,0.083,0.009,0.073,0.0,0.001,0.003,0.025,0.008,0.025,0.003,0.001,0.099,0.064,0.012,0.0,0.001,0.0,0.043,0.2,0.0,0.0,0.0,0.001,0.019,0.0,0.0,0.001,0.0,0.0
twitter,std,0.25,0.136,0.075,0.172,0.06,0.169,0.006,0.011,0.027,0.091,0.04,0.069,0.039,0.015,0.175,0.1,0.05,0.0,0.017,0.0,0.125,0.238,0.004,0.006,0.008,0.018,0.073,0.004,0.003,0.011,0.003,0.007
literature,mean,0.442,0.374,0.014,0.022,0.0,0.0,0.0,0.0,0.0,0.062,0.003,0.003,0.001,0.0,0.0,0.018,0.005,0.0,0.0,0.0,0.055,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
literature,std,0.099,0.12,0.007,0.022,0.001,0.0,0.0,0.0,0.0,0.126,0.003,0.003,0.001,0.0,0.001,0.01,0.008,0.0,0.0,0.0,0.02,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews,mean,0.531,0.282,0.029,0.029,0.018,0.0,0.0,0.0,0.001,0.056,0.009,0.009,0.0,0.0,0.002,0.017,0.003,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews,std,0.165,0.134,0.059,0.065,0.072,0.0,0.002,0.005,0.008,0.097,0.026,0.026,0.003,0.003,0.012,0.036,0.015,0.0,0.002,0.0,0.041,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
facebook,mean,0.313,0.104,0.015,0.077,0.009,0.002,0.0,0.002,0.001,0.013,0.005,0.006,0.001,0.001,0.006,0.009,0.001,0.0,0.001,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
facebook,std,0.408,0.243,0.095,0.243,0.067,0.04,0.004,0.028,0.027,0.09,0.036,0.041,0.031,0.017,0.052,0.068,0.022,0.014,0.019,0.009,0.255,0.01,0.001,0.001,0.001,0.004,0.004,0.0,0.0,0.0,0.0,0.001
