source,doc,ARI,ColemanLiau,Flesch,FOG,Kincaid,LIX,RIX,SMOG
news,mean,10.405,9.911,53.698,4.53,9.049,76.251,8.313,3.508
news,std,2.797,5.107,15.248,2.42,2.747,6.638,2.376,5.26
essays,mean,10.357,11.95,50.91,6.018,9.849,78.401,9.436,11.937
essays,std,1.768,1.66,7.844,0.919,1.408,4.193,1.532,1.689
parliament,mean,,,,,,,,
parliament,std,,,,,,,,
twitter,mean,,,,,,,,
twitter,std,,,,,,,,
literature,mean,6.002,7.732,73.558,4.366,5.683,83.316,7.805,9.032
literature,std,1.652,1.379,7.02,0.907,1.488,2.007,1.496,2.003
reviews,mean,9.626,7.446,57.297,4.558,9.129,83.608,10.575,0.023
reviews,std,2.561,5.078,11.118,3.197,2.156,6.524,2.785,0.481
facebook,mean,,,,,,,,
facebook,std,,,,,,,,
